id_cliente,fecha,importe,categoria
41,2025-01-15,5967.78,Servicios
16,2025-01-29,,Servicios
44,2025-03-11,NaN,Servicios
3,2025-01-04,"1,500.00",Servicios
33,2025-03-19,abc,Servicios
46,2025-03-25,8997.96,Honorarios
15,2025-02-27,336.28,Software
49,2025-01-21,495.97,Servicios Especiales
18,2025-01-20,7258.89,Servicios
7,2025-01-12,7728.34,Software
23,2025-03-19,1111.22,Servicios
47,2025-02-28,8138.44,Software
6,2025-03-12,7784.03,Servicios
37,2025-01-25,1161.00,Honorarios
43,2025-01-30,1873.35,Honorarios
15,2025-01-13,9708.70,Software
41,2025-02-16,7650.56,Servicios
14,2025-03-27,1697.41,Servicios
39,2025-03-23,5334.05,Servicios
11,2025-03-01,11880.08,Software
15,2025-03-29,1373.10,Servicios
15,2025-01-05,8613.03,Honorarios
18,2025-01-09,6799.27,Servicios
14,2025-03-25,9822.82,Software
10,2025-02-03,11972.74,Servicios
35,2025-02-03,9184.90,Honorarios
38,2025-02-21,3101.02,Software
33,2025-03-05,1188.10,Servicios
8,2025-01-20,603.33,Retenciones
39,2025-01-09,10015.71,Software
